"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahrain","BHR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17413877056.2106","19369455237.1759","20665271476.1633","23324893293.4485","23266580713.9469","24180955368.8901","25174794113.2462","25953450441.4791","27196621441.3522","28366075880.5882","29869497774.4","30613531464.1696","31638641076.4935","33630749754.722","35978499142.6662","38413882983.678","40898108843.0958","44290181814.3572","47054702540.5978","48250134372.7576","50342634747.6673","51341188465.1221","53255295710.9709","56140046949.4711","58582304080.9195","60259543158.6136","62352668378.1084","64724266001.0525","65874240389.6426","",
"Bahamas, The","BHS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7944357197.22196","7612141276.96844","7320932572.77763","7343466863.82896","7574706438.95198","7906384055.49491","8240312591.62012","8410247583.86834","8806915415.44507","9436091559.36869","9827617929.49302","10085660126.791","10358433019.2025","10227427765.2907","10317719581.392","10668042850.7104","10936541393.224","11094743346.009","10836905174.9592","10384436164.5242","10544229522.0445","10608854836.1335","10936337366.9759","10613486231.9656","10691658888.9292","10755549708.5251","10803546883.3931","10810749009.9514","10980019386.6964","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5819082493.78701","7029451684.49376","13282687751.3626","17850547563.2908","20635232334.0408","22616214595.8242","23860106497.163","24909951065.3274","26230178538.3593","27279385697.0359","28943419162.3978","31478647544.6079","33183930774.9719","35127044027.678","37033292669.8068","35921274534.5172","36196880047.082","36525637926.8929","36270096410.9315","37122819617.4981","37549002281.4037","38708599148.8927","39926236712.5482","40775725606.6156","42253252846.0951","",
"Belarus","BLR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85247615337.1072","84224647729.6983","76139080371.8905","70352508860.9844","62121262582.2225","55660650968.3457","57219151783.9799","63742138180.2517","69096472318.5214","71445751799.1723","75589607861.3114","79161448132.3286","83155354931.6634","89012146702.4099","99203808832.4341","108528968374.129","119381859581.573","129648707308.683","142872874727.544","143158613776.282","154322504458.232","162623060502.26","165366731946.421","167026138881.981","169909652846.144","163402842805.066","159274557507.473","163307681572.742","168288411616.436","",
"Belize","BLZ","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","942837580.406305","1050924824.01031","1177660528.9054","1251566875.54428","1253548898.031","1261624740.96066","1279643394.92216","1325002545.1555","1374566207.07241","1495239368.44462","1689913214.95812","1774672246.66722","1865533425.79148","2039549475.88999","2134349515.97412","2189373234.50882","2289681566.72057","2314995968.48196","2389743847.05789","2405774284.07773","2487172976.29979","2540960748.74954","2615609414.49785","2637892696.82046","2735293494.0471","2829167412.34217","2812531238.8671","2852955439.47512","2939554153.22008","",
"Bermuda","BMU","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2405862615.04608","2320830206.06248","2319443808.08995","2389225839.37538","2403551951.75845","2509287755.91646","2574541182.92306","2692970077.33757","2797995910.35374","2892642283.03342","3162154264.8163","3390538833.08688","3340433776.56587","3454366158.62813","3534551202.2428","3593726911.16702","3792958312.94401","3900901738.61185","3960503378.69618","3751223364.15495","3672668487.99025","3550019929.12843","3378392789.57695","3293556129.34525","","","","","","",
"Bolivia","BOL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25417775962.4149","26756410116.2825","27196953588.13","28358071413.1477","29681619296.0357","31070206354.5763","32425284642.5655","34031700929.2692","35743275075.362","35895859391.0328","36796058464.1861","37415630842.1287","38345620609.6668","39385301030.6457","41028965560.6988","42843034508.5279","44898218802.9819","46947545358.1366","49834113867.6095","51507045697.5273","53632596928.8341","56423688731.6456","59313865042.339","63344842253.6586","66803829903.3155","70048617522.6612","73035434187.5812","76099423564.0104","79313577790.8759","",
"Brazil","BRA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540940106228.95","1564238153512.68","1556934518910.89","1629568145288.89","1716498300513.46","1792311419167.78","1831877330496.35","1894066744497.98","1900470544441.64","1909363560076.04","1993145467769.02","2020848124937.26","2082553951639.37","2106312331020.75","2227635176468.49","2298966981483.94","2390051794009.38","2535124845363.2","2664269059819.75","2660917089645.8","2861236937304.88","2974954665057.21","3032108016061.56","3123218779362.52","3138958608626.81","3027655167589.04","2927580317653.85","2958724870140.03","2991791205005.73","",
"Barbados","BRB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3860910574.31758","3710338659.20044","3499126860.17948","3526877315.5253","3597795145.8535","3670254668.14537","3816201507.37154","3997093364.44059","4146123587.59407","4159998815.26698","4345001850.90578","4242222386.662","4275625712.54123","4368641127.68185","4430308806.22812","4605547792.76376","4866607631.94296","4957053560.47749","5002276524.74475","4759203091.80821","4655909730.24322","4618909123.11545","4615825739.18814","4552616368.67822","4544907908.85993","4645117886.49762","4750980734.66871","4742758377.52921","4719119100.75314","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21911944834.1895","22601281769.873","23676782035.0165","23748895090.5649","24495892218.17","25592991540.9038","26329639158.4682","25942284992.1106","25797395034.2527","26584772069.138","27342284375.3295","28092567737.0402","29180339200.3506","30027723258.6296","30179158547.8893","30296104962.6462","31628442732.1111","31677334551.9124","31062884656.7293","30514769016.8002","31307837411.1498","32480415591.3426","32776910359.7628","32080063898.3911","31326263639.6957","31148701800.9807","30380725909.6426","30784365009.278","30800446081.4635","",
