Country,Age 0-9,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age >80,# People,GDP,GDP per capta,Life expectancy,# Flight Passengers,"Hospital beds (per 1,000 people)",Population density (people per km²),Lockdown Level,Lockdown Start Date,Temperature Jan (ºC),Temperature Feb (ºC),Temperature Mar (ºC),Temperature Apr (ºC)
Philippines,22137588,21224868,19346448,15169948,12087102,9132653,5640281,2495455,653477,10788.782,847083.941738375,2891.35889010634,70.952,43080118.0,1.75569999217987,351.87339437233805,2,2020-03-15,59.7,60.3,61.8,63.7
Chile,2450918,2505672,3020205,2878807,2556775,2328585,1737346,950339,364300,1879.2947,428407.19138309703,15059.5301407621,79.90899999999999,19517185.0,3.77640008926392,24.2823792385533,3,2020-03-19,44.2,43.9,41.1,37.2
Austria,863022,877100,1124426,1224528,1195561,1402944,1000416,789863,338138,881.5998,409267.31457318703,49129.2336646382,81.34,12935505.0,11.1999998092651,106.74856706615101,3,2020-03-16,9.4,11.8,18.7,25.8
Poland,3812694,3683606,4614458,6098806,5397403,4653080,5155357,2736204,1189580,3734.1188,1093233.0666407,15751.233833289,78.33800000000001,9277538.0,6.7,126.23161383003,3,2020-03-13,8.7,9.5,17.1,26.4
Norway,616243,643048,724428,727725,730800,701457,581791,427144,156088,530.8724,347500.05722802697,91218.6184273408,82.146,,5.900000095367429,14.4621363742146,3,2020-03-12,7.1,7.6,12.4,18.8
Belgium,1305219,1298970,1395385,1498535,1524152,1601891,1347696,908725,444835,1132.5408,497798.03412335296,46078.929087306904,81.305,13639487.0,9.39999961853027,375.563672391017,3,2020-03-18,17.4,18.2,23.6,28.7
Portugal,856604,1029022,1076533,1253640,1587112,1472388,1282301,997530,453129,1000.8259,298164.652288094,23116.579332588302,81.655,17367956.0,4.099999904632569,115.43945845616301,3,2020-03-19,34.0,35.0,37.3,39.4
Romania,1939134,2069083,2174981,2621141,3076100,2508724,2559619,1482916,663465,1909.5163,477852.951781298,10932.3271455023,75.79,4908235.0,8.95020008087158,101.16344015696501,3,2020-03-25,9.4,11.7,20.4,29.7
Saudi Arabia,5937284,4817472,5457856,6886975,6162478,3055997,1307059,476138,122065,3422.3324,1654689.5164109399,20796.319460318,74.874,39141659.999,2.4964001179,15.322308332829401,1,2020-03-26,42.4,45.6,52.1,59.6
Ecuador,3260635,3116390,2997435,2540942,2046448,1546300,1047152,545637,193245,1729.4184,177885.72947044502,5269.61757039174,76.584,5365261.0,2.54629993438721,66.9385488806571,3,2020-03-16,50.8,51.0,51.2,51.2
Panama,771035,720783,669917,611062,547002,420154,271162,151433,59348,422.1896,94708.085158672,11513.277683583701,78.149,12939350.0,3.7753107547759996,55.1329970406242,3,2020-03-25,60.4,61.1,62.1,62.6
Thailand,7548496,8629471,9617196,9351071,11070365,10557509,7301625,3702813,1309467,6908.8013,1173668.25735868,6125.66028889635,76.683,76053042.754,2.2000000477,135.13185421519302,0,,58.2,61.3,64.7,67.3
Russia,18561902,14795855,16599344,24452747,19983554,19449736,18094236,8266872,4348884,14455.313,3763167.03094688,11441.0034569958,72.139,99327311.0,13.186200141906701,9.071961781457539,2,2020-03-30,-18.5,-15.6,-3.7,12.4
China,171585833,166513709,192891037,223506345,223201182,214623812,148420591,66894771,18775767,142641.3047,22536847.2781122,7329.08929913216,76.47,611439830.0,4.2,147.67403502115602,2,2020-01-23,-0.6,1.6,7.1,13.6
Malaysia,5098216,5185143,5784427,5525337,3884381,3080289,2069406,965368,260284,3185.2851,889139.3860188159,11521.4544635159,75.828,60481772.0,3.72813272476196,96.2540374372242,3,2020-03-18,60.8,61.3,62.2,62.9
Israel,1654530,1377821,1178880,1117905,1019070,779142,702437,430872,175844,843.6501,298575.839077013,34134.8056061387,82.663,7404373.0,8.07929992675781,402.606284658041,3,2020-03-25,34.5,35.7,40.1,46.8
Brazil,29188180,31633075,34181400,34436184,28902917,24026608,16292185,8401090,2870636,20993.2275,2991791.20500573,10888.9823851831,75.456,102109977.0,4.9951000213623,25.0400541268751,2,17-03-2020,60.3,60.1,59.5,58.5
Australia,3280238,3079378,3401525,3662343,3282597,3093653,2605017,1768659,709000,2488.241,1134097.60092565,55925.931816802804,83.12200000000001,75667645.03475071,12.3000001907349,3.20202712729261,3,2020-03-23,55.6,55.3,52.2,46.6
Serbia,868805,1010416,1119463,1216521,1227265,1120356,1161341,696223,244652,866.5042,112057.41447215801,5992.282068725811,75.684,2262703.0,5.9,88.43630230962731,0,,13.1,15.2,23.4,32.5
Italy,5103576,5740332,6135226,7100743,9225165,9453168,7391126,5935048,3113098,5919.7482,2165161.39388013,34877.8291405126,83.184,27630435.6,10.6000003814697,206.667369279935,3,2020-09-03,5.7,6.5,8.6,11.7
Greece,910515,1071214,1068916,1384511,1584912,1489576,1243217,940663,526066,1021.959,269701.116543147,23027.4134527969,81.90100000000001,15125933.515259802,6.199999809265139,86.278828549263,3,2020-03-23,30.1,31.0,34.6,40.7
Spain,4340417,4682339,4652133,6158281,7935505,6944643,5200462,3921750,1865361,4570.0891,1627413.6160821102,32405.750814388102,83.294,80672105.0,5.5,93.5078358806114,3,2020-03-14,9.4,10.3,12.0,13.4
Peru,5489704,5224879,5423768,5068397,4191544,3185093,2171756,1190014,398979,3234.4134,409254.382550695,6172.69358983485,76.286,17758527.272,2.5,25.12928515625,3,2020-03-16,45.4,46.0,45.8,44.4
Iran,14377200,11531256,12885389,16623647,11185873,8029753,5126544,2239919,631647,8263.1228,,6946.8565811444105,76.271,25604871.412779,1.72,49.831029740416,0,,20.5,24.0,32.5,42.2
Turkey,13501499,13585939,13087611,12748548,11221844,8664742,5968559,3216491,995236,8299.0469,2087440.69559228,14933.265210006599,77.161,115595495.817,2.8,104.914075594766,0,,18.3,20.3,25.9,34.7
Germany,7726915,7948424,9421661,10770439,10400203,13574883,10347526,7589596,4185510,8196.5157,3809392.17697613,46747.1924708096,81.039,109796202.17431,11.5,237.016337059329,2,2020-03-20,-0.4,0.2,3.5,7.3
Czech Republic,1119008,1033915,1145980,1510360,1774233,1333127,1344888,987327,295858,1054.4696,355275.5227233879,22779.291899431402,79.058,5727200.0,11.3999996185303,137.175534257221,3,2020-03-16,9.6,11.6,18.1,25.7
Argentina,7431085,7110303,6989730,6393900,5596155,4365874,3478296,2234324,818779,4441.8446,813726.335883782,10398.0924648569,76.372,18081937.0,6.35225057601929,16.1768563483624,3,2020-03-19,57.1,55.5,51.6,45.3
Pakistan,52774521,44914765,39377474,29843795,20586127,14690100,8500213,4464790,1046450,21619.8235,1048295.56443907,1222.52390632114,66.947,6880637.0,1.2,255.57279343088402,2,2020-03-22,33.0,37.6,46.4,55.9
Denmark,607866,679998,774991,662575,752091,803945,657184,566946,190139,569.5735,280709.07647707,61582.166068968,80.681,,8.60000038146973,136.51987601154698,3,2020-03-11,15.3,14.7,18.1,24.4
Finland,578800,602758,678649,705213,655323,728975,720693,556209,211327,543.7947,232093.62018693102,47057.619047105305,81.561,13364839.0,15.6000003814697,18.1358484978117,2,2020-03-27,-1.4,-1.5,5.2,15.6
Dominican Republic,2000731,1934534,1852721,1540921,1257021,994096,655454,327868,124962,1068.8308,167360.67850892802,7153.07871811932,73.689,,2.63940000534058,222.873069757814,3,2020-03-19,55.7,56.4,57.7,58.9
United Kingdom,8065283,7569160,8630614,9203569,8624679,9138365,7206475,5673457,2355124,6646.6726,2694283.2900125696,42514.487450258996,81.168,165388610.0,10.6999998092651,272.89824742694196,3,2020-03-23,21.6,21.8,24.9,28.4
Luxembourg,65213,66256,84625,95914,93536,88767,60144,36676,16337,60.7468,58823.572966589105,107865.27353106801,81.955,2099102.0,8.10000038146973,231.44749034749,1,2020-03-13,14.3,16.5,22.0,27.6
Iceland,43668,44269,48238,46464,42622,42276,36635,22223,8398,33.4793,17185.6683056163,49910.005520708604,82.725,7819740.55998243,16.7000007629,3.4043291770573596,0,,11.4,12.8,13.6,17.5
United States,39891845,42398071,46179065,43980069,40288440,42557686,37845098,23009234,9052463,32520.1971,18229481.5090666,53128.5396999252,78.861,889022000.0,9.19999980926514,35.6077645937324,2,2020-03-20,-0.1,1.8,5.8,11.1
Japan,10363426,11337747,12268082,14762678,18753747,16223340,16318424,15814619,7503577,12334.564,4971795.43159158,48556.9272446078,84.29,126387527.0,15.600000381500001,351.338820301783,0,,21.3,21.9,27.0,36.4
South Africa,11581615,10240605,10231760,9942466,6845747,4794113,3068429,1430792,316598,5845.2125,701715.8404575239,7524.511184390409,63.538000000000004,23921748.0700525,2.8,46.754285337444,3,2020-03-14,53.5,52.8,50.5,45.3
Ireland,683362,653400,559110,710607,747666,587995,473864,314560,108546,483.911,343896.755889769,74433.4556552143,81.872,167598633.0,9.0,69.8738278414864,3,2020-03-12,24.0,24.3,26.5,29.1
Netherlands,1762690,1973468,2106722,2075858,2201959,2520370,2109482,1526904,565325,1684.2778,857881.8970096579,53597.8343255379,82.00399999999999,43996044.579144,5.8000001907000005,508.54419709112506,0,,18.6,18.3,23.8,28.5
New York,,,,,,,,,,,1406000.0,64579.0,,,,1800.0,2,2020-03-20,-5.2,-4.2,0.7,7.3
São Paulo,,,,,,,,,,,699280.0,69500.0,,,,7100.0,2,24-03-2020,55.8,56.3,55.3,51.9
Lombardia,,,,,,,,,,,398416.0,42335.0,,,,2800.0,3,2020-09-03,0.8,3.1,6.8,10.7
Wuhan,,,,,,,,,,,224000.0,16528.0,,,,7000.0,3,2020-01-23,3.9,5.6,10.6,17.2
